,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
12307,CHN,Online TA,0,1,No Deposit,0,Transient-Party,D,1,1,0
17297,IRL,Groups,0,2,No Deposit,0,Transient-Party,D,0,2,0
40102,CHL,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
63187,FIN,Direct,0,2,No Deposit,0,Transient-Party,A,0,2,0
30792,BEL,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
12677,RUS,Online TA,0,2,No Deposit,0,Transient,A,0,0,1
847,DEU,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,1
33714,MYS,Direct,0,1,No Deposit,0,Transient,D,0,2,0
31031,DEU,Groups,0,2,No Deposit,0,Contract,A,0,0,0
56976,PRT,Direct,0,2,No Deposit,0,Transient,D,1,0,0
12391,PRT,Offline TA/TO,0,0,No Deposit,58,Transient-Party,A,0,0,0
8770,ROU,Online TA,0,2,No Deposit,0,Transient-Party,A,0,2,0
938,PRT,Groups,0,0,Non Refund,32,Transient,A,0,0,1
23630,PRT,Complementary,0,0,No Deposit,0,Transient,G,0,3,0
5780,FRA,Online TA,0,0,No Deposit,0,Transient,G,0,1,1
1743,RUS,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
28604,ISL,Direct,0,0,No Deposit,0,Transient,G,0,0,0
74104,PRT,Direct,0,2,No Deposit,0,Transient,F,1,1,0
48073,PRT,Complementary,2,1,No Deposit,0,Transient,G,0,1,0
62430,ARG,Online TA,0,0,No Deposit,0,Transient,D,1,1,0
46240,PRT,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,2,0
10910,PRT,Offline TA/TO,0,0,No Deposit,0,Group,A,0,0,0
17920,GBR,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
6252,RUS,Direct,0,1,No Deposit,0,Transient,D,0,1,0
11873,IRL,Online TA,0,5,No Deposit,0,Transient-Party,E,0,0,1
52006,GBR,Groups,0,1,No Deposit,113,Transient-Party,A,0,0,0
27672,PRT,Online TA,0,5,No Deposit,0,Transient-Party,D,1,0,0
32640,ARG,Groups,0,1,No Deposit,0,Transient,A,0,0,0
82572,ESP,Direct,0,3,No Deposit,0,Transient-Party,F,0,1,0
5744,MEX,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
25656,FRA,Offline TA/TO,0,1,No Deposit,27,Transient-Party,A,0,0,0
4860,CHE,Direct,0,0,No Deposit,0,Transient,D,0,2,0
8315,ZAF,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
61537,EST,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
22059,IRL,Direct,0,1,No Deposit,0,Transient,F,0,0,0
7929,FRA,Online TA,0,0,No Deposit,0,Transient,F,1,1,0
10990,BEL,Online TA,0,0,No Deposit,0,Transient,F,0,0,0
893,PRT,Direct,0,0,No Deposit,0,Transient,E,1,1,0
5558,PRT,Groups,0,1,No Deposit,0,Transient-Party,A,0,2,0
71201,DEU,Online TA,0,0,No Deposit,0,Group,A,0,1,0
19484,JAM,Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,3,0
18981,BEL,Online TA,0,3,No Deposit,0,Transient-Party,A,0,1,0
75221,ITA,Offline TA/TO,0,2,No Deposit,63,Transient-Party,A,0,0,0
193,SWE,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
3656,FIN,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
33294,KOR,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
74433,FRA,Direct,0,0,No Deposit,0,Transient,H,0,1,0
75719,ITA,Online TA,0,2,No Deposit,0,Transient,B,0,2,0
976,ESP,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
15028,NLD,Online TA,0,2,No Deposit,0,Transient,A,0,3,0
25216,GBR,Offline TA/TO,0,2,No Deposit,0,Transient,D,0,0,0
676,IRL,Direct,0,0,No Deposit,0,Transient,F,0,0,0
72422,IND,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
17442,PRT,Groups,0,0,Non Refund,44,Transient,A,0,0,1
22902,FRA,Direct,0,1,No Deposit,0,Transient,A,1,0,0
15854,CN,Online TA,0,1,No Deposit,0,Transient,E,1,1,0
490,PRT,Direct,0,1,No Deposit,0,Transient,A,0,0,0
61750,FRA,Offline TA/TO,0,2,No Deposit,27,Transient-Party,A,0,0,0
19071,PRT,Complementary,0,3,No Deposit,0,Transient-Party,E,0,3,0
51514,CN,Direct,0,0,No Deposit,0,Transient,G,0,3,1
7094,AUT,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
28809,PRT,Online TA,0,3,No Deposit,0,Transient-Party,A,0,0,0
11243,BEL,Online TA,0,0,No Deposit,0,Transient,A,1,0,0
13268,ESP,Online TA,0,2,No Deposit,0,Transient,G,0,0,1
68106,IRL,Online TA,0,1,No Deposit,0,Transient,E,0,3,0
70983,ARG,Online TA,0,1,No Deposit,0,Transient,B,0,1,1
4401,POL,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
66686,BEL,Direct,0,1,No Deposit,0,Transient-Party,D,0,1,0
23468,BRA,Direct,0,2,No Deposit,0,Transient-Party,A,1,1,0
6993,ROU,Offline TA/TO,0,5,No Deposit,0,Transient-Party,E,0,1,0
1153,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
10722,ROU,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
57894,GBR,Online TA,0,2,No Deposit,0,Transient,C,0,1,1
42020,ESP,Online TA,0,3,No Deposit,0,Transient,D,0,2,0
22066,JOR,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
1632,ITA,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
19586,PRT,Aviation,0,2,No Deposit,0,Transient,A,1,0,0
62852,DEU,Online TA,0,0,No Deposit,0,Transient,C,0,0,1
16631,CHE,Direct,0,7,No Deposit,0,Transient,F,1,0,0
31127,BRA,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
11750,KOR,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
3606,NLD,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
29282,PRT,Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,1
50476,DEU,Online TA,0,2,No Deposit,0,Transient-Party,D,0,0,0
39862,PRT,Offline TA/TO,0,1,No Deposit,0,Contract,A,0,0,0
1199,PRT,Groups,0,0,No Deposit,0,Transient,A,0,0,0
3755,DZA,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
59990,ESP,Direct,0,0,No Deposit,0,Transient,D,0,1,1
9038,ISR,Direct,0,1,No Deposit,0,Transient,A,0,5,0
9559,ITA,Online TA,0,1,No Deposit,0,Transient,F,0,2,1
9488,PRT,Online TA,0,1,No Deposit,0,Transient,E,0,2,1
29119,PRT,Offline TA/TO,0,0,Non Refund,63,Transient,A,0,0,1
77454,SVK,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
54454,PRT,Direct,0,1,No Deposit,0,Transient,A,1,2,0
30710,ESP,Direct,0,2,No Deposit,0,Transient,E,1,3,0
12252,GBR,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
1559,AUS,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,2,0
590,PRT,Corporate,2,0,No Deposit,0,Transient,A,1,2,0
23544,ESP,Online TA,0,1,No Deposit,0,Transient,F,0,0,1
25662,CHN,Direct,0,0,No Deposit,0,Transient,A,0,0,0
3280,CHE,Online TA,0,0,No Deposit,0,Transient,C,0,2,1
63819,PRT,Online TA,0,0,No Deposit,0,Transient,F,1,3,0
45959,NOR,Online TA,0,0,No Deposit,0,Transient,B,0,2,1
33058,GBR,Online TA,0,2,No Deposit,0,Transient-Party,B,0,0,0
12517,AUS,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
21149,GBR,Offline TA/TO,0,2,No Deposit,0,Transient,E,0,3,0
15919,GBR,Online TA,0,1,No Deposit,0,Transient,B,0,2,0
94,FRA,Direct,0,0,No Deposit,0,Transient,A,1,0,0
10327,PRT,Corporate,1,1,No Deposit,0,Transient,D,1,2,0
1835,DEU,Offline TA/TO,0,0,No Deposit,162,Transient-Party,A,0,0,0
45852,GBR,Direct,0,1,No Deposit,0,Group,A,0,0,0
35488,DNK,Online TA,0,2,No Deposit,0,Transient,D,0,1,0
1740,FRA,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
5378,ESP,Direct,0,0,No Deposit,0,Transient,D,1,0,0
11286,ESP,Offline TA/TO,0,3,No Deposit,0,Transient,A,0,0,0
13612,ESP,Corporate,0,1,No Deposit,0,Transient-Party,A,0,2,0
37645,DNK,Online TA,0,1,No Deposit,0,Transient,B,0,1,1
69864,USA,Direct,0,0,No Deposit,0,Transient,G,0,1,0
42652,ARG,Online TA,0,0,No Deposit,0,Transient,E,0,3,0
4162,FIN,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
20694,PRT,Offline TA/TO,0,3,No Deposit,0,Transient,A,0,0,0
12234,AUS,Direct,0,3,No Deposit,0,Transient,A,0,0,0
16999,IRN,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
12414,ISR,Direct,0,0,No Deposit,0,Transient,D,0,2,1
79807,CN,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,2,0
36027,CHN,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
10860,ITA,Direct,0,0,No Deposit,0,Transient-Party,E,0,1,0
24998,CHE,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
17291,PRT,Corporate,0,2,No Deposit,0,Transient,E,0,0,0
11376,SWE,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
36855,GBR,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
902,PRT,Direct,0,0,No Deposit,0,Transient,F,0,1,0
33217,GBR,Online TA,0,2,No Deposit,0,Transient,D,0,1,1
34837,CHE,Direct,0,1,No Deposit,0,Transient-Party,A,0,0,0
25376,USA,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
13209,GBR,Online TA,0,1,No Deposit,0,Transient-Party,B,0,0,1
10589,ESP,Online TA,0,2,No Deposit,0,Transient,D,0,0,1
68947,CN,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,2,0
7144,PRT,Online TA,0,1,No Deposit,0,Contract,B,0,0,0
70608,FRA,Online TA,0,0,No Deposit,0,Group,A,1,1,0
8145,GBR,Offline TA/TO,0,1,No Deposit,0,Contract,A,1,0,0
11843,CHE,Online TA,0,0,No Deposit,0,Transient,C,0,1,1
39507,MAR,Direct,0,0,No Deposit,0,Transient,D,1,3,0
22719,BRA,Online TA,0,0,No Deposit,0,Contract,A,0,3,0
10981,PRT,Offline TA/TO,0,0,No Deposit,0,Group,D,0,1,1
5282,GBR,Online TA,0,1,No Deposit,0,Transient,D,0,0,0
11446,PRT,Online TA,0,0,No Deposit,0,Transient,C,0,0,0
48070,PRT,Direct,0,0,No Deposit,0,Transient-Party,F,1,0,0
12250,BRA,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
28095,USA,Direct,0,3,No Deposit,0,Transient,A,0,0,0
13353,ESP,Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,1,1,0
2787,BEL,Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,1
6534,DEU,Online TA,0,2,No Deposit,0,Transient,E,0,2,0
24950,NOR,Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,0
42985,AUT,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
10033,DEU,Online TA,0,0,No Deposit,0,Transient,E,0,2,1
4093,TUR,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
9054,LUX,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
31066,PRT,Online TA,0,1,No Deposit,0,Transient-Party,H,1,2,0
1502,PRT,Corporate,0,0,No Deposit,0,Transient,D,0,2,1
1507,PRT,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
43207,MAR,Direct,0,1,No Deposit,0,Transient,F,0,1,0
15381,CN,Online TA,0,0,No Deposit,0,Transient,D,0,3,1
1839,PRT,Corporate,0,1,No Deposit,0,Transient,A,0,1,0
18270,FRA,Online TA,0,0,No Deposit,0,Transient,B,0,0,0
36152,PRT,Complementary,0,1,No Deposit,0,Transient,B,0,0,0
29708,BEL,Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
59614,ITA,Online TA,0,1,No Deposit,0,Transient-Party,D,0,0,0
21234,CRI,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
29245,PRT,Online TA,1,0,No Deposit,0,Transient-Party,A,0,0,1
69048,BGD,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
4125,PRT,Direct,1,0,No Deposit,0,Transient-Party,B,0,1,1
11250,GBR,Online TA,0,3,No Deposit,0,Transient,A,0,2,1
32951,IRL,Direct,0,0,No Deposit,0,Transient,D,0,2,0
5123,GBR,Groups,0,2,No Deposit,0,Transient-Party,A,1,0,0
23813,ESP,Online TA,11,0,No Deposit,0,Transient,A,0,1,0
211,GBR,Direct,0,0,No Deposit,0,Transient,A,0,3,0
79879,PRT,Direct,3,1,No Deposit,0,Transient,E,0,2,1
23590,POL,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
54600,BEL,Corporate,0,3,No Deposit,0,Transient-Party,A,0,0,0
40474,ARM,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
54678,CN,Offline TA/TO,0,2,No Deposit,0,Transient,A,0,0,0
52835,ESP,Corporate,0,0,No Deposit,0,Transient,E,0,0,0
3689,NLD,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
2113,CHL,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
20436,ROU,Online TA,0,1,No Deposit,0,Transient,E,0,2,1
31758,MAR,Online TA,0,1,No Deposit,0,Transient,D,0,0,1
18362,CHE,Online TA,0,0,No Deposit,0,Transient,C,1,1,0
31955,POL,Online TA,0,0,No Deposit,0,Transient,A,0,4,0
523,PRT,Groups,0,0,No Deposit,34,Transient-Party,A,0,0,1
54731,PRT,Offline TA/TO,0,0,No Deposit,224,Transient-Party,A,0,0,0
2112,PRT,Complementary,0,1,No Deposit,0,Transient,A,0,0,0
57113,PRT,Online TA,0,1,No Deposit,0,Transient,C,1,1,0
21701,USA,Online TA,0,1,No Deposit,0,Transient-Party,B,0,0,0
62132,BEL,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
47755,CN,Online TA,0,3,No Deposit,0,Transient,D,0,1,0
23880,ITA,Offline TA/TO,0,0,No Deposit,77,Transient-Party,A,0,0,1
20807,PRT,Groups,0,0,No Deposit,0,Transient,E,0,0,0
7874,HRV,Direct,0,0,No Deposit,0,Transient,A,0,0,0
44713,ITA,Online TA,0,2,No Deposit,0,Transient,D,0,1,1
5297,PRT,Groups,0,2,No Deposit,28,Transient-Party,A,0,0,0
24576,NGA,Direct,0,0,No Deposit,0,Transient,D,0,1,1
45523,ITA,Direct,0,4,No Deposit,0,Transient,A,0,1,0
24130,NLD,Groups,0,0,No Deposit,0,Transient-Party,A,1,0,0
9672,CN,Online TA,0,0,No Deposit,0,Transient,G,0,2,0
58918,SWE,Direct,0,0,No Deposit,0,Transient,A,1,2,0
427,FRA,Offline TA/TO,0,0,No Deposit,0,Group,D,0,0,0
52990,ESP,Online TA,0,3,No Deposit,0,Transient,D,0,0,1
10709,SWE,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
25290,RUS,Online TA,0,3,No Deposit,0,Transient,D,0,3,0
449,LBN,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
32689,PRT,Online TA,0,3,No Deposit,0,Transient,D,0,4,0
41594,PRT,Offline TA/TO,0,0,No Deposit,31,Transient-Party,A,0,1,0
71646,ISR,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
631,CHN,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
58428,DEU,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
2738,DEU,Direct,0,1,No Deposit,0,Transient,A,0,0,0
72158,BRA,Online TA,0,1,No Deposit,0,Transient,D,0,0,0
51327,FRA,Groups,0,4,No Deposit,87,Transient-Party,A,0,0,0
73701,GRC,Online TA,0,1,No Deposit,0,Transient,A,0,0,1
6994,NLD,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
44398,PRT,Direct,0,0,No Deposit,0,Transient,F,1,3,0
76019,ITA,Groups,0,1,No Deposit,0,Transient-Party,A,1,0,0
66039,KOR,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
8235,ITA,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
53180,TWN,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
38070,EGY,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
3215,SAU,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
75750,GBR,Groups,0,1,No Deposit,0,Transient,E,0,0,0
63341,PRT,Groups,0,0,Non Refund,23,Transient,A,0,0,1
1120,PRT,Online TA,0,0,No Deposit,0,Transient,H,0,0,0
17227,PRT,Groups,0,0,No Deposit,0,Transient,A,0,2,0
34412,USA,Direct,0,4,No Deposit,0,Transient,E,0,0,0
4032,FRA,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
2989,PRT,Online TA,0,0,No Deposit,0,Transient,E,0,2,1
81953,DEU,Online TA,0,5,No Deposit,0,Transient,A,0,2,1
2773,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
4986,CN,Direct,0,0,No Deposit,0,Transient,A,1,0,0
65811,FRA,Online TA,0,2,No Deposit,0,Transient,C,0,2,0
9416,BRA,Direct,0,0,No Deposit,0,Transient,D,0,0,0
45253,LUX,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
46463,VEN,Direct,0,0,No Deposit,0,Transient,A,0,0,0
19804,FRA,Online TA,0,1,No Deposit,0,Transient-Party,D,0,2,0
331,IRL,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
4406,HUN,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
67635,NLD,Online TA,0,1,No Deposit,0,Transient,F,0,0,0
49578,USA,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
20305,GRC,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
56090,IRN,Online TA,0,0,No Deposit,0,Transient-Party,E,0,0,0
20304,DEU,Groups,0,0,No Deposit,0,Transient-Party,E,0,0,0
14416,IRL,Groups,0,2,No Deposit,61,Transient-Party,A,0,0,0
60838,DEU,Complementary,0,0,No Deposit,0,Transient,A,0,3,0
9122,SWE,Online TA,0,1,No Deposit,0,Transient,G,0,0,0
81696,FRA,Direct,0,2,No Deposit,0,Transient-Party,D,0,3,0
1313,PRT,Direct,0,0,No Deposit,0,Transient,F,0,2,0
24004,PRT,Direct,0,1,No Deposit,0,Transient,G,0,2,0
60802,NOR,Online TA,0,3,No Deposit,0,Transient,A,0,1,0
5190,BRA,Online TA,0,1,No Deposit,0,Transient-Party,E,0,1,0
15961,BEL,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
15508,AGO,Direct,0,1,No Deposit,0,Transient,A,0,0,1
25062,ESP,Online TA,0,1,No Deposit,0,Transient,C,1,2,0
74499,ESP,Direct,0,0,No Deposit,0,Transient-Party,B,0,1,0
1445,ESP,Corporate,0,1,No Deposit,0,Transient-Party,D,0,0,0
1804,PRT,Online TA,0,2,No Deposit,0,Transient,E,0,1,1
5203,PRT,Online TA,0,1,No Deposit,0,Transient,D,1,2,0
65781,PRT,Direct,11,0,No Deposit,0,Transient,E,0,0,1
25851,PRT,Groups,0,0,No Deposit,0,Transient,D,0,0,0
14212,GBR,Online TA,0,2,No Deposit,0,Transient-Party,A,0,2,0
49082,GBR,Online TA,0,0,No Deposit,0,Transient-Party,C,0,0,0
23516,USA,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,1,0
67800,GBR,Offline TA/TO,0,0,No Deposit,0,Group,D,0,2,0
32556,KOR,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
75205,PRT,Online TA,0,3,No Deposit,0,Transient,E,0,0,0
9116,PRT,Offline TA/TO,0,0,No Deposit,4,Transient-Party,A,0,0,1
51722,GBR,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,1,0
38356,BRA,Online TA,0,1,No Deposit,0,Transient-Party,B,0,0,1
35758,BEL,Groups,0,2,No Deposit,0,Transient-Party,A,0,1,0
15917,PRT,Corporate,0,0,No Deposit,0,Transient,A,0,1,1
7438,GBR,Online TA,0,0,No Deposit,0,Transient,G,1,2,0
77906,EGY,Online TA,0,0,No Deposit,0,Transient,B,0,0,1
11429,CN,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
14690,GBR,Online TA,0,0,No Deposit,0,Group,D,0,1,0
59002,GBR,Online TA,0,6,No Deposit,0,Transient-Party,A,0,0,1
41216,NOR,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
3459,TUN,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
16844,NOR,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
47916,GBR,Online TA,0,0,No Deposit,0,Transient,G,0,3,0
381,PHL,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
39668,PRT,Online TA,0,2,No Deposit,0,Transient,E,0,2,0
28623,FRA,Online TA,0,0,No Deposit,0,Transient,E,1,2,0
50271,FRA,Offline TA/TO,0,3,No Deposit,0,Transient,A,0,0,0
55326,ISR,Online TA,0,4,No Deposit,0,Transient,A,1,2,0
6558,AUT,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
407,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,1,0,0
66445,DNK,Online TA,0,0,No Deposit,0,Transient-Party,F,1,2,0
4378,ITA,Online TA,0,0,No Deposit,0,Transient,E,1,1,0
7003,FRA,Direct,0,1,No Deposit,0,Transient,E,0,2,0
24887,PRT,Direct,0,1,No Deposit,0,Transient-Party,A,1,0,0
52209,GBR,Online TA,0,1,No Deposit,0,Transient,B,0,3,0
82506,AGO,Direct,0,0,No Deposit,0,Transient,D,0,0,1
713,DEU,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
5421,GBR,Direct,0,1,No Deposit,0,Transient-Party,C,0,1,1
30694,PRT,Direct,0,2,No Deposit,0,Transient,D,0,0,1
34320,PRT,Offline TA/TO,1,3,No Deposit,0,Contract,C,0,2,1
81367,PRT,Online TA,2,1,No Deposit,0,Transient,A,0,4,1
4931,IRL,Online TA,0,0,No Deposit,0,Transient,C,0,2,1
11123,DEU,Offline TA/TO,0,3,No Deposit,0,Transient,E,0,0,0
17748,IND,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
36,PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
23308,USA,Online TA,0,1,No Deposit,0,Transient,H,1,1,0
30459,FRA,Corporate,0,0,No Deposit,0,Transient,E,0,0,0
27340,BRA,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
66,BEL,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
5229,DEU,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
62863,CHL,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
5674,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,3,0
46075,ESP,Groups,0,1,No Deposit,0,Transient-Party,A,0,2,0
6320,NOR,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
23997,POL,Offline TA/TO,0,2,No Deposit,0,Contract,D,1,0,0
52885,SWE,Groups,0,1,No Deposit,0,Transient-Party,F,1,0,0
63827,GBR,Corporate,0,0,No Deposit,0,Transient,E,0,1,0
4042,NZL,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
59301,AGO,Online TA,0,0,No Deposit,0,Contract,A,0,1,0
69719,LTU,Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
50120,PRT,Online TA,2,0,No Deposit,0,Transient,D,0,1,1
30059,PRT,Corporate,1,0,No Deposit,0,Transient,D,0,1,0
10630,PRT,Direct,0,1,No Deposit,0,Transient,E,1,3,0
83252,PRT,Online TA,0,1,No Deposit,0,Transient,G,0,3,0
48752,JPN,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
37604,FRA,Offline TA/TO,0,0,No Deposit,25,Transient-Party,A,0,0,0
44589,USA,Direct,0,0,No Deposit,0,Transient-Party,A,0,2,0
8864,USA,Online TA,0,4,No Deposit,0,Transient,D,0,2,0
4587,ESP,Offline TA/TO,0,0,No Deposit,0,Transient,F,1,0,0
59066,GBR,Groups,0,3,No Deposit,0,Transient-Party,A,1,1,0
16670,BEL,Online TA,0,1,No Deposit,0,Transient,D,0,2,0
73098,FRA,Online TA,0,1,No Deposit,0,Transient,F,1,1,0
51350,CHE,Online TA,0,2,No Deposit,0,Transient-Party,F,0,1,0
72272,UKR,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
