,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
71,DEU,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
72,ESP,Groups,1,0,Non Refund,0,Transient,A,0,0,1
74,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
76,DEU,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
77,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
78,FRA,Online TA,0,5,No Deposit,0,Transient,D,0,1,0
79,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,2,1
80,ITA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
81,PRT,Direct,0,1,No Deposit,0,Transient-Party,E,0,2,0
82,PRT,Online TA,0,0,No Deposit,0,Transient,G,0,0,0
84,PRT,Corporate,0,0,No Deposit,0,Transient,A,1,2,0
85,PRT,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
87,IRL,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
88,GBR,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
90,PRT,Online TA,0,0,No Deposit,0,Transient,D,1,2,0
91,PRT,Direct,0,0,No Deposit,0,Transient,D,0,2,0
92,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
93,PRT,Offline TA/TO,0,0,Non Refund,77,Transient,A,0,0,1
94,FRA,Direct,0,0,No Deposit,0,Transient,A,1,0,0
98,CN,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
99,ESP,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
101,CHN,Online TA,0,0,No Deposit,0,Transient,G,1,3,0
103,SWE,Direct,0,0,No Deposit,0,Transient,A,0,0,0
105,PRT,Online TA,0,1,No Deposit,0,Transient-Party,A,0,3,0
106,PRT,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
107,FRA,Online TA,0,2,No Deposit,0,Transient,D,0,2,0
108,BEL,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
109,GBR,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
110,PRT,Offline TA/TO,0,0,No Deposit,215,Transient-Party,A,0,0,1
111,SWE,Groups,0,1,No Deposit,0,Transient,A,0,0,0
112,DEU,Online TA,0,1,No Deposit,0,Transient,F,0,0,0
113,AUT,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
115,ESP,Direct,0,0,No Deposit,0,Transient,A,0,1,0
116,PRT,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
117,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
118,FRA,Online TA,0,1,No Deposit,0,Transient,E,1,3,0
119,CIV,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
121,PRT,Direct,0,1,No Deposit,0,Transient,A,0,1,0
122,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
124,NLD,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
125,CZE,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
129,CHE,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
131,GBR,Offline TA/TO,0,1,No Deposit,0,Transient,E,0,0,0
132,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
133,ESP,Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
134,PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
136,ITA,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
137,ITA,Online TA,0,2,No Deposit,0,Transient,A,0,0,0
138,BEL,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
139,ITA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
140,PRT,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
141,PRT,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
142,ESP,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
143,DEU,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
144,BEL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,1,0
146,PRT,Corporate,0,0,No Deposit,0,Transient,A,0,0,0
147,LUX,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
148,PRT,Offline TA/TO,1,0,No Deposit,0,Transient-Party,A,0,2,1
149,DEU,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
150,POL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
151,PRT,Groups,1,0,No Deposit,0,Contract,A,0,0,1
152,ITA,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
153,IRL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
154,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
157,BEL,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
160,USA,Online TA,0,1,No Deposit,0,Transient-Party,G,1,2,0
161,PRT,Corporate,0,0,No Deposit,0,Transient,A,0,0,1
163,PRT,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
164,PRT,Groups,0,1,No Deposit,0,Transient-Party,D,0,0,1
165,DEU,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,0
166,FRA,Direct,0,0,No Deposit,0,Transient,A,0,0,0
167,USA,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
168,CN,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,1,0
169,PRT,Direct,0,0,No Deposit,0,Transient,E,0,0,0
170,BEL,Online TA,0,2,No Deposit,0,Transient,D,1,1,0
171,GBR,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
172,PRT,Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0,0
173,PRT,Direct,1,0,No Deposit,0,Transient,A,0,0,0
174,SGP,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
175,RUS,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
176,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
177,PRT,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,1
178,FRA,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
179,USA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
181,PRT,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,1
185,PRT,Aviation,0,0,No Deposit,0,Transient,D,0,0,0
188,DEU,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
190,PRT,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
191,PRT,Groups,0,0,No Deposit,97,Transient-Party,A,0,1,0
193,SWE,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
194,IRL,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,1,0
195,PRT,Direct,0,0,No Deposit,0,Transient,A,0,2,0
197,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
200,PRT,Offline TA/TO,1,0,Non Refund,0,Transient,A,0,0,1
202,USA,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
203,GBR,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
204,GBR,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
205,PRT,Groups,1,0,Non Refund,0,Transient-Party,A,0,0,1
207,PRT,Offline TA/TO,1,0,Non Refund,0,Transient-Party,A,0,0,1
209,SWE,Groups,0,3,No Deposit,0,Transient-Party,E,1,0,0
210,PRT,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
211,GBR,Direct,0,0,No Deposit,0,Transient,A,0,3,0
214,ITA,Offline TA/TO,0,0,No Deposit,0,Transient,F,0,1,0
215,FRA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
216,PRT,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
220,ROU,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
221,PRT,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
223,DEU,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
225,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
227,FRA,Online TA,0,2,No Deposit,0,Transient,D,0,1,1
229,DEU,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
231,POL,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
234,CHN,Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
235,PRT,Direct,0,2,No Deposit,0,Transient,E,0,0,0
238,ITA,Online TA,0,0,No Deposit,0,Transient,F,0,2,0
241,PRT,Direct,0,0,No Deposit,0,Transient,E,0,1,0
242,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
243,PRT,Corporate,0,0,No Deposit,0,Transient,A,1,0,0
244,USA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
246,PRT,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
248,ESP,Direct,0,1,No Deposit,0,Transient,A,0,0,0
249,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
250,ESP,Online TA,0,0,No Deposit,0,Transient,F,0,1,0
253,ESP,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
256,PRT,Corporate,0,0,Non Refund,0,Transient,A,0,0,1
258,POL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
259,PRT,Complementary,0,1,No Deposit,0,Transient,F,0,1,0
261,ITA,Online TA,0,0,No Deposit,0,Contract,D,0,1,0
263,USA,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
265,ESP,Groups,0,0,No Deposit,0,Transient,A,0,0,0
267,FRA,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
268,GBR,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,2,0
269,PRT,Direct,0,3,No Deposit,0,Transient,D,1,1,0
270,FRA,Online TA,0,1,No Deposit,0,Transient,D,0,1,1
271,ESP,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,1
272,ITA,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
273,ESP,Online TA,0,2,No Deposit,0,Transient,F,0,0,0
274,CN,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
279,PRT,Online TA,0,0,No Deposit,0,Transient,A,1,3,0
280,PRT,Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,0
281,PRT,Offline TA/TO,0,0,No Deposit,162,Transient-Party,A,0,0,1
282,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
283,DEU,Online TA,0,1,No Deposit,0,Transient-Party,A,0,2,0
284,IRL,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
285,NLD,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
286,DEU,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
288,GBR,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
289,ESP,Corporate,0,4,No Deposit,0,Transient-Party,A,0,0,0
291,ESP,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
292,GBR,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
293,ESP,Online TA,0,0,No Deposit,0,Transient,D,1,2,0
294,PRT,Direct,0,1,No Deposit,0,Transient,D,1,0,0
298,DEU,Direct,0,0,No Deposit,0,Transient-Party,D,0,0,0
299,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,0
301,ITA,Direct,0,0,No Deposit,0,Transient,A,0,0,0
304,PRT,Corporate,0,0,No Deposit,0,Transient,A,1,1,0
306,ITA,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
307,FRA,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
310,BRA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
311,CZE,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
313,PRT,Online TA,0,0,No Deposit,0,Transient,G,1,1,0
314,BRA,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
315,ESP,Direct,0,0,No Deposit,0,Transient,D,0,0,0
319,PRT,Groups,0,0,Refundable,0,Transient-Party,D,0,0,1
320,FRA,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,1
321,FRA,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
322,PRT,Corporate,0,1,No Deposit,0,Transient,A,0,0,0
323,CHE,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
325,PRT,Corporate,0,0,No Deposit,0,Transient,E,0,0,0
327,GBR,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
331,IRL,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
332,BRA,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
334,GBR,Online TA,0,3,No Deposit,0,Transient,A,0,0,0
335,ITA,Direct,0,1,No Deposit,0,Transient,E,1,2,0
336,IRL,Online TA,0,1,No Deposit,0,Transient,D,1,1,0
338,ESP,Corporate,0,0,No Deposit,0,Transient,A,0,0,0
339,PRT,Offline TA/TO,1,0,Non Refund,46,Transient,A,0,0,1
342,BEL,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
343,AUT,Online TA,0,1,No Deposit,0,Transient-Party,D,0,2,0
345,ITA,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
347,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
348,DNK,Online TA,0,1,No Deposit,0,Transient,A,0,0,1
349,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
350,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
351,SWE,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
353,PRT,Direct,1,0,No Deposit,0,Transient,A,0,0,1
354,USA,Online TA,0,1,No Deposit,0,Transient,F,0,1,1
356,FRA,Aviation,0,0,No Deposit,0,Transient,D,0,0,0
360,CHN,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
361,GBR,Groups,0,0,Refundable,0,Transient-Party,A,0,0,0
362,GBR,Online TA,0,1,No Deposit,0,Transient,E,0,1,1
363,CN,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
366,IND,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
367,FRA,Direct,0,0,No Deposit,0,Transient,E,0,2,0
368,POL,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,0
369,PRT,Online TA,0,0,No Deposit,0,Transient,E,1,0,0
371,GBR,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
372,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,1,1,0
373,PRT,Direct,0,0,No Deposit,0,Transient,A,0,0,1
374,DEU,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
375,GBR,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
376,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
377,MAR,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
378,GBR,Direct,0,0,No Deposit,0,Transient,E,0,0,1
379,AUT,Online TA,0,1,No Deposit,0,Transient,A,0,3,0
380,PRT,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
381,PHL,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
382,ESP,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
383,PRT,Groups,0,0,No Deposit,0,Transient-Party,E,0,0,0
387,FRA,Online TA,0,1,No Deposit,0,Transient,D,0,2,0
388,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
390,ESP,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
391,PRT,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,1
393,ARG,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
397,BRA,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
403,FRA,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
404,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,2,1
405,ESP,Groups,0,0,Non Refund,0,Transient,A,0,0,1
407,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,1,0,0
409,PRT,Direct,0,0,No Deposit,0,Transient,F,0,0,0
413,BEL,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
414,PRT,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
415,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
416,GBR,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
418,ITA,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
420,ITA,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
422,IRL,Online TA,0,0,No Deposit,0,Group,A,0,2,0
424,ESP,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
425,BRA,Online TA,0,0,No Deposit,0,Transient,E,0,3,1
427,FRA,Offline TA/TO,0,0,No Deposit,0,Group,D,0,0,0
429,GBR,Online TA,0,0,No Deposit,0,Transient,E,0,2,0
432,IND,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
434,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,1
435,MAR,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
437,ROU,Direct,0,0,No Deposit,0,Transient,A,0,0,1
438,FRA,Online TA,0,0,No Deposit,0,Transient,C,0,1,0
439,FRA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
440,ISL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
441,PRT,Offline TA/TO,0,0,Non Refund,79,Transient,A,0,0,1
442,DEU,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
443,ZAF,Direct,0,0,No Deposit,0,Transient,F,0,2,1
444,PRT,Online TA,0,1,No Deposit,0,Transient-Party,A,1,0,0
445,GBR,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
448,PRT,Online TA,0,3,No Deposit,0,Transient-Party,E,0,2,0
449,LBN,Online TA,0,2,No Deposit,0,Transient,A,0,1,1
450,PRT,Groups,0,0,Non Refund,0,Transient,D,0,0,1
452,PRT,Complementary,0,2,No Deposit,0,Transient,E,1,2,0
453,PRT,Direct,0,0,No Deposit,0,Transient,A,0,1,1
455,PRT,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,0
456,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,1
457,ITA,Offline TA/TO,0,2,No Deposit,4,Transient-Party,A,0,0,0
458,MOZ,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
459,GBR,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
460,FRA,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
461,CHN,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
462,TUR,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
463,POL,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
466,PRT,Direct,0,0,No Deposit,0,Transient,D,1,1,0
467,BRA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
468,PRT,Offline TA/TO,0,0,Non Refund,0,Transient-Party,A,0,0,1
469,PRT,Online TA,0,0,No Deposit,0,Transient,D,0,3,1
472,FRA,Online TA,0,0,No Deposit,0,Transient-Party,A,1,2,0
473,MAR,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
477,PRT,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
479,PRT,Groups,0,0,Non Refund,31,Transient,A,0,0,1
480,ESP,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,0
481,FRA,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
485,BEL,Online TA,0,0,No Deposit,0,Transient,D,0,3,0
490,PRT,Direct,0,1,No Deposit,0,Transient,A,0,0,0
492,CHN,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
494,AUT,Direct,0,0,No Deposit,0,Transient-Party,E,0,0,0
495,MAR,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
496,PRT,Groups,1,0,No Deposit,0,Transient-Party,A,0,0,1
497,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,0,0
499,BRA,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
500,AGO,Direct,0,1,No Deposit,0,Transient,A,0,1,0
501,DEU,Online TA,0,2,No Deposit,0,Transient-Party,A,0,2,0
505,BGD,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
507,BRA,Direct,0,0,No Deposit,0,Transient,A,0,4,0
508,BEL,Direct,0,0,No Deposit,0,Transient,D,0,2,0
510,PRT,Online TA,0,0,No Deposit,0,Contract,A,0,2,1
511,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,0
512,PRT,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
513,PRT,Groups,0,0,No Deposit,122,Transient-Party,A,0,0,0
514,CHE,Online TA,0,1,No Deposit,0,Transient,B,0,3,0
515,PRT,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
516,GBR,Online TA,0,1,No Deposit,0,Transient,D,0,2,0
523,PRT,Groups,0,0,No Deposit,34,Transient-Party,A,0,0,1
524,DEU,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
525,BEL,Direct,0,0,No Deposit,0,Transient,A,0,0,0
526,ESP,Direct,0,2,No Deposit,0,Transient,A,0,2,0
532,SWE,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
533,DEU,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
534,MEX,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
537,PRT,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
538,SWE,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
540,DEU,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
542,SWE,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
543,PRT,Groups,0,0,No Deposit,0,Transient,A,0,1,0
544,PRT,Groups,25,0,Non Refund,0,Transient,A,0,0,1
545,PRT,Direct,0,3,No Deposit,0,Transient,F,1,0,0
549,GBR,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
550,CAF,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
553,PRT,Online TA,0,2,No Deposit,0,Transient-Party,A,0,0,0
556,PRT,Online TA,1,0,No Deposit,0,Transient,A,0,0,1
557,IRL,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
559,USA,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
561,CN,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
564,PRT,Direct,1,0,No Deposit,0,Transient,B,0,0,1
565,FRA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
568,IRL,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
570,GBR,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
571,IRL,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
572,ITA,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
575,ESP,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,0
577,DEU,Online TA,0,3,No Deposit,0,Transient,D,0,1,0
578,GBR,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,0,0,0
579,GBR,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
580,ITA,Online TA,0,0,No Deposit,0,Transient,D,0,4,1
585,FRA,Direct,0,0,No Deposit,0,Transient,F,1,0,0
588,NLD,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
